model,dataset,prompt,run,problem_attempt,successful_problem
dsp,val12,paraphrase,1,1,amc12a_2021_7
dsp,val12,paraphrase,1,1,numbertheory_sqmod4in01d
dsp,val12,paraphrase,1,2,mathd_algebra_109
dsp,val12,paraphrase,1,2,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,paraphrase,1,5,amc12b_2003_9
dsp,val12,paraphrase,1,14,amc12a_2013_8
dsp,val12,paraphrase,2,1,amc12b_2003_9
dsp,val12,paraphrase,2,2,mathd_algebra_109
dsp,val12,paraphrase,2,3,amc12a_2021_7
dsp,val12,paraphrase,2,4,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,paraphrase,2,8,numbertheory_sqmod4in01d
dsp,val12,paraphrase,2,20,amc12a_2013_8
dsp,val12,paraphrase,3,1,amc12b_2003_9
dsp,val12,paraphrase,3,1,amc12a_2013_8
dsp,val12,paraphrase,3,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,paraphrase,3,2,mathd_algebra_109
dsp,val12,paraphrase,3,2,amc12a_2021_7
dsp,val12,paraphrase,3,45,numbertheory_sqmod4in01d
dsp,val12,paraphrase,4,1,numbertheory_sqmod4in01d
dsp,val12,paraphrase,4,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,paraphrase,4,2,mathd_algebra_109
dsp,val12,paraphrase,4,5,amc12a_2021_7
dsp,val12,paraphrase,4,7,amc12b_2003_9
dsp,val12,paraphrase,4,17,amc12a_2013_8
dsp,val12,paraphrase,5,1,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,paraphrase,5,2,mathd_algebra_109
dsp,val12,paraphrase,5,5,amc12b_2003_9
dsp,val12,paraphrase,5,19,amc12a_2021_7
dsp,val12,paraphrase,5,20,amc12a_2013_8
dsp,val12,baseline,1,1,amc12a_2013_8
dsp,val12,baseline,1,1,amc12a_2021_7
dsp,val12,baseline,1,1,numbertheory_sqmod4in01d
dsp,val12,baseline,1,2,amc12b_2003_9
dsp,val12,baseline,1,2,algebra_2varlineareq_xpeeq7_2xpeeq3_eeq11_xeqn4
dsp,val12,baseline,1,4,mathd_algebra_109
dsp,val12,baseline,2,1,amc12a_2013_8
